"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 15:57:21 IST 2023","Fri Aug 04 15:57:35 IST 2023","13601","chrome","","","","","check js alert page test",""
"passed","Fri Aug 04 15:57:35 IST 2023","Fri Aug 04 15:57:37 IST 2023","2276","chrome","","","","","check confirm box alert test",""
"passed","Fri Aug 04 15:57:46 IST 2023","Fri Aug 04 15:58:15 IST 2023","28893","chrome","","","","","check that file is upload or not",""
"passed","Fri Aug 04 15:57:41 IST 2023","Fri Aug 04 15:57:46 IST 2023","5218","chrome","","","","","check the single and two input feild",""
"passed","Fri Aug 04 15:57:40 IST 2023","Fri Aug 04 15:57:50 IST 2023","9706","chrome","","","","","check input form and check the data",""
"passed","Fri Aug 04 15:57:21 IST 2023","Fri Aug 04 15:57:28 IST 2023","6780","chrome","","","","","check single value and multivalur drop down",""
"passed","Fri Aug 04 15:57:28 IST 2023","Fri Aug 04 15:57:40 IST 2023","12122","chrome","","","","","check input form and check the data",""
"passed","Fri Aug 04 15:57:37 IST 2023","Fri Aug 04 15:57:40 IST 2023","3546","chrome","","","","","confirm prompt box alert test",""
"passed","Fri Aug 04 15:57:21 IST 2023","Fri Aug 04 15:57:52 IST 2023","30776","chrome","","","","","check the calender",""
"passed","Fri Aug 04 15:57:21 IST 2023","Fri Aug 04 15:58:01 IST 2023","39470","chrome","","","","","check single and multiple pop up page",""
